Rank	Gene	Distance	SNP
150	KLF14	33165	rs56258902
151	SREBF1	33196	rs3818717
152	PLEKHA1	33300	rs2421016
153	ADA	33834	rs244080
154	HNF1B	35075	rs3110649
155	SLC2A2	35346	rs1604038
156	ERO1B	35817	rs1749602
157	HNF1A	36011	rs73226260
158	ERLIN1	36027	rs2862954
159	KL	36269	rs576674
160	MYC	36572	rs17772814
161	ATP2A3	36861	rs1878332
162	JAZF1	39806	rs864745
163	LAMA1	40977	rs9948462
164	RTL1	41022	rs61993309
165	ADAMTS9	43899	rs6445424
166	SLC30A8	43908	rs35859536
167	DDX52	43950	rs3110641
168	DGKB	44704	rs17168486
169	DEUP1	46072	rs4753450
170	ADA	46734	rs11696357
171	PSMD6	46809	rs3774723
172	TYRO3	47653	rs28708888
173	TCF7L2	48183	rs7903146
174	CDKN1C	48565	rs2237897
175	RFLNA	48843	rs10773049
176	CDKN1C	49214	rs234866
177	IKBKE	49946	rs9430095
178	GRB14	50518	rs13389219
179	ZBED3	51856	rs7732130
180	RTL1	55383	rs45617834
181	OPTC	55602	rs13303359
182	CMIP	56015	rs2925979
183	TSC22D2	59582	rs62271373
184	SLC35D3	61026	rs947733
185	CEBPG	61776	rs10410805
186	FBXW7	63222	rs6813195
187	LIF	63223	rs5763857
188	HK1	64748	rs17476364
189	IKZF2	65640	rs1057163508
190	SSR1	66096	rs35742417
191	EYA2	67395	rs6066137
192	LRRC66	68851	rs61506637
193	HMG20A	69319	rs12910361
194	NUDT5	69771	rs11257655
195	IGF2BP3	70029	rs75693095
196	HMGA2	71279	rs138066904
197	TNFSF4	75404	rs10912578
198	INSR	77137	rs7252150
199	C10orf35	79500	rs2616132
200	DEPDC7	80918	rs62618693
201	SSR1	81597	rs9379084
202	CCNL1	82534	rs13322435
203	P2RY1	83055	rs114364467
204	FTO	85852	rs79994966
205	OTULIN	88888	rs17250977
206	UBE3C	90398	rs1182447
207	OTULIN	91062	rs147581833
208	VEGFA	91497	rs7747095
209	CCND2	92997	rs10849001
210	CLEC14A	96142	rs5807991
211	GPC5	96662	rs10161911
212	ZC3H11B	97853	rs2494195
213	ADCY5	102827	rs11708067
214	ANKH	103121	rs76549217
215	OTULIN	103235	rs6885132
216	GIN1	108989	rs149802978
217	CDKN2B	109833	rs1333045
218	KCNQ1	112942	rs2283164
219	ZMIZ1	113839	rs12571751
220	SSPN	114745	rs11048457
221	GIN1	117116	rs78408340
222	DGKB	120847	rs10244051
223	NAP1L5	121883	rs3822072
224	SLC25A26	124712	rs75018580
225	CDKN2B	124732	rs10811661
226	FAM174A	126782	rs112725069
227	CDKN2B	127078	rs12555274
228	CENPW	130775	rs11759026
229	TMEM78	132177	rs750557
230	ZFP36L2	132539	rs6743071
231	FOXA2	133212	rs8121708
232	LRTM1	133274	rs76263492
233	MRPS30	136063	rs11958808
234	KCNE2	139483	rs9976596
235	PPARGC1A	139920	rs373676665
236	CITED2	139979	rs2982521
237	TBL1X	140145	rs73631502
238	BCL2	141477	rs12454712
239	CDKAL1	145990	rs9348441
240	PTPRR	147207	rs7974748
241	LLPH	150946	rs4338565
242	CDKN1C	151563	rs2283220
243	EYA1	152654	rs12334481
244	PPP1R3B	173189	rs2169387
245	LPP	188879	rs6777684
246	KCNV1	189591	rs184889639
247	BCL11A	193926	rs243018
248	SPRY2	204854	rs1215466
249	CHRDL1	205900	rs1418334
250	UBE2E2	210006	rs1496653
251	TCF4	212220	rs202020783
252	PDGFC	212347	rs12641088
253	GLI2	212705	rs9677933
254	CDKN1C	214788	rs35276020
255	DMRTA1	218280	rs12003808
256	ETS1	223309	rs10750397
257	ANK1	234818	rs515071
258	THBS1	238991	rs1822105
259	MAP3K1	250493	rs5868014
260	SNX7	251521	rs4950125
261	TLE4	281940	rs17791513
262	MAP3K1	304650	rs459193
263	WDR11	304656	rs72631105
264	ARL15	333739	rs4865796
265	BCL2L11	371077	rs58584712
266	RNASEH2B	389700	rs9316500
267	GOLIM4	401938	rs9815690
268	ETS1	412649	rs7948345
269	KRBOX4	523152	rs6521058
270	EBF1	523749	rs2963468
271	CITED2	555373	rs681235
272	IRS1	569717	rs2203452
