# GREAT version 4.0.4	Species assembly: hg38	Association rule: Basal+extension: 5000 bp upstream, 1000 bp downstream, 1000000 bp max extension, curated regulatory domains included
rs147287548	RBM28 (+20869), LEP (+81755)
rs11577338	SCAMP3 (-8027), CLK2 (+3230)
rs7252150	INSR (+77137), ZNF557 (+147453)
rs10912578	PRDX6 (-194549), TNFSF4 (-75404)
rs28708888	MGA (-53725), TYRO3 (+47653)
rs8176719	OBP2B (-48272), ABO (+17692)
rs35625408	OSBPL7 (-4216)
rs10974438	RFX3 (-765945), GLIS3 (+7988)
rs2074314	KCNJ11 (-1615)
rs62111724	EML2 (-15785), GIPR (-6830)
rs6521058	CXorf36 (-722804), KRBOX4 (-523152)
rs12454712	BCL2 (+141477), PHLPP1 (+463201)
rs11786992	DPY19L4 (-46981), ESRP1 (+31790)
rs79994966	FTO (+85852), IRX3 (+496948)
rs2540951	CEP68 (-6770), SLC1A4 (+60201)
rs1111874	CCAR1 (-132853), TET1 (+27705)
rs56258902	MKLN1 (-560634), KLF14 (-33165)
rs2862954	CPN1 (-70430), ERLIN1 (+36027)
rs4338565	LLPH (+150946), HMGA2 (+155362)
rs8073626	CYTH1 (-11903), USP36 (+46473)
rs56394279	TRIM59 (-3475), ENSG00000248710 (-3475)
rs864745	JAZF1 (+39806), TAX1BP1 (+400748)
rs34247110	KCNK17 (-42)
rs35048168	FGFR3 (-7641), TACC3 (+64132)
rs3132520	POU5F1 (-1538)
rs9430095	IKBKE (-49946), SRGAP2 (+214640)
rs673736	SLC22A3 (+7353), LPA (+308638)
rs4711750	TMEM63B (-337569), VEGFA (+18638)
rs1333045	DMRTA1 (-327645), CDKN2B (-109833)
rs8126001	OPRL1 (-4910), RGS19 (-614)
rs4679370	HEG1 (-144975), SLC12A8 (+10466)
rs13303359	ATP2B4 (-76816), OPTC (+55602)
rs61791116	SLC2A2 (-18972), TNIK (+414686)
rs13257021	TP53INP1 (-4056)
rs3067768	PTPN1 (-291552), CEBPB (+28068)
rs56150947	PIM3 (-242)
rs2421016	ARMS2 (-46657), PLEKHA1 (+33300)
rs2616132	COL13A1 (-92174), C10orf35 (+79500)
rs56952027	BCL2L11 (-1402)
rs3822072	NAP1L5 (-121883), FAM13A (+237054)
rs12819124	COL2A1 (-10785), SENP1 (+90537)
rs6600208	ENSG00000269881 (+5722), RGS11 (+20660)
rs1496653	UBE2E1 (-392604), UBE2E2 (+210006)
rs314363	EPHB4 (+10735), ZAN (+83138)
rs17099623	BEGAIN (-138717), DLK1 (-20040)
rs4238013	PARP11 (-393549), CCND2 (-6849)
rs11042751	IGF2 (+12604), MRPL23 (+181356)
rs4950125	DPYD (-489179), SNX7 (-251521)
rs3110649	DDX52 (-66708), HNF1B (+35075)
rs11759026	RSPO3 (-647655), CENPW (+130775)
rs34584161	SHISA2 (-151831), RNF6 (+19631)
rs11708067	ADCY5 (+102827), SEC22A (+138609)
rs719727	RSPO3 (-24911), CENPW (+753519)
rs750557	TMEM78 (-132177), RHOU (+382382)
rs3217854	TIGAR (-32021), CCND2 (+15412)
rs2066827	APOLD1 (-7766), CDKN1B (+1041)
rs2963468	CLINT1 (-716869), EBF1 (+523749)
rs2267716	CRHR2 (+23076), GARS (+82346)
rs10841867	GYS2 (-23400), LDHB (+29547)
rs8036430	PRC1 (+18065), RCCD1 (+21560)
rs11048457	SSPN (+114745), ITPR2 (+522957)
rs59975010	ZNF442 (-20936), ZNF799 (+14702)
rs681235	CITED2 (-555373)
rs10830963	MTNR1B (+5824), SLC36A4 (+222419)
rs8035987	SIN3A (-6338), PTPN9 (+121247)
rs1749602	ERO1B (+35817), GPR137B (+103636)
rs7067540	PDCD4 (-9728), RBM20 (+217682)
rs459193	IL6ST (-515931), MAP3K1 (-304650)
rs9348441	SOX4 (-912321), CDKAL1 (+145990)
rs5807991	CLEC14A (-96142), SEC23A (+751017)
rs6445424	ADAMTS9 (-43899)
rs12555274	DMRTA1 (-310400), CDKN2B (-127078)
rs6066137	EYA2 (+67395), ZMYND8 (+394678)
rs515071	NKX6-3 (-14585), ANK1 (+234818)
rs111354897	TFRC (-18874), ZDHHC19 (+110332)
rs4898364	FAM58A (-35913), DUSP9 (-12166)
rs438811	APOC1 (-763)
rs7747095	TMEM63B (-264710), VEGFA (+91497)
rs3110641	DDX52 (-43950), HNF1B (+57833)
rs2971669	GCK (-32897), YKT6 (-8870)
rs58584712	BCL2L11 (+371077), ANAPC1 (+392684)
rs61993309	RTL1 (+41022), DLK1 (+116998)
rs11257655	CAMK1D (-83587), NUDT5 (-69771)
rs67624109	CDK2AP1 (-67948), SBNO1 (+10353)
rs3832289	FGFRL1 (-8731), SLC26A1 (-7812)
rs10771371	KLHL42 (+27520), PTHLH (+165165)
rs3768321	PABPC4 (+6145), BMP8A (+78610)
rs194535	GTPBP10 (-104270), STEAP2 (+30720)
rs72631105	WDR11 (+304656), FGFR2 (+442572)
rs1182447	DNAJB6 (-107655), UBE3C (+90398)
rs61776592	ZNF593 (-50447), PDIK1L (+7587)
rs5868014	IL6ST (-570088), MAP3K1 (-250493)
rs35742417	SSR1 (+66096), RREB1 (+139303)
rs17168486	ETV1 (-868711), DGKB (+44704)
rs10849001	PARP11 (-307401), CCND2 (-92997)
rs3774723	PSMD6 (+46809), ATXN7 (+78264)
rs9677933	GLI2 (-212705), INHBB (+233561)
rs61373376	SNRPD2 (+12005), GIPR (+12084)
rs67611724	PXMP4 (-169)
rs140130268	ARAP1 (-7468), STARD10 (+33810)
rs9815690	GOLIM4 (-401938), MECOM (+648392)
rs12912777	RASGRP1 (+4621), FAM98B (+106058)
rs9379084	SSR1 (+81597), RREB1 (+123802)
rs4810426	HNF4A (-28203), R3HDML (+36095)
rs28516010	NOTCH2 (-13669), SEC22B (+93220)
rs2169387	TNKS (-232029), PPP1R3B (-173189)
rs12855	C1orf185 (-127813), CDKN2C (+13676)
rs5763857	LIF (+63223), HORMAD2 (+103454)
rs17772814	MYC (-36572), POU5F1B (+285207)
rs117744580	RFPL2 (+32833), SLC5A1 (+127612)
rs72802352	CTRB2 (+200)
rs202020783	CCDC68 (-464299), TCF4 (+212220)
rs13085136	RYBP (-369411), SHQ1 (+32448)
rs58542926	HAPLN4 (-5944), TM6SF2 (+4548)
rs62271373	PFN2 (-377644), TSC22D2 (-59582)
rs200513066	WNT6 (-3591)
rs372411283	BEND3 (-235)
rs2203452	IRS1 (+569717), NYAP2 (+830332)
rs7961449	CCDC92 (+20156), DNAH10 (+190173)
rs13268508	HSF1 (+9996), DGAT1 (+25316)
rs12641088	CTSO (-805130), PDGFC (+212347)
rs62486442	KIAA1456 (-179723), LONRF1 (-10464)
rs9808924	IGF2BP2 (+28611), SENP2 (+210227)
rs320369	FAM46C (-5039), MAN1A2 (+233446)
rs77773608	FBRSL1 (+255)
rs452338	CDKN1C (-1084)
rs35859536	MED30 (-341477), SLC30A8 (+43908)
rs12910361	HMG20A (+69319), LINGO1 (+142497)
rs2925979	PLCG2 (-278073), CMIP (+56015)
rs1604038	EIF5A2 (-82711), SLC2A2 (+35346)
rs2055997	CDKL2 (+20624), C4orf26 (+53837)
rs234866	CDKN1C (+49214), KCNQ1 (+391676)
rs7903146	HABP2 (-554436), TCF7L2 (+48183)
rs244080	ADA (+33834), PKIG (+85999)
rs6813195	FBXW7 (-63222), TMEM154 (+80842)
rs4753450	SLC36A4 (-86682), DEUP1 (-46072)
rs10750397	ETS1 (+223309)
rs2379358	TBCD (+31672), ZNF750 (+56842)
rs252924	SETD9 (+556)
rs11637595	SRP14 (-56339), BMF (+13347)
rs10161911	GPC5 (-96662)
rs340874	PROX1 (-2030)
rs10244051	DGKB (-120847), AGMO (+537807)
rs111756123	POLR2J2 (-51941), FAM185A (-25666)
rs1426385	P2RY1 (-554429), MBNL1 (+12224)
rs3818717	SREBF1 (+33196), RAI1 (+122318)
rs10410805	CEBPG (+61776), PEPD (+86688)
rs329122	JADE2 (+3252), SAR1B (+104079)
rs4684859	TSEN2 (-27609), PPARG (+105430)
rs11958808	MRPS30 (+136063), HCN1 (+751346)
rs10882102	EXOC6 (-141782), HHEX (+16787)
rs2796441	TLE1 (-4728)
rs12283736	KRTAP5-6 (-23004), KRTAP5-5 (+44416)
rs2494195	ZC3H11B (+97853), LYPLAL1 (+341448)
rs7501939	DDX52 (-97701), HNF1B (+4082)
rs13389219	GRB14 (-50518), COBLL1 (+169802)
rs35276020	CDKN1C (+214788), KCNQ1 (+226102)
rs28578070	DNLZ (+10025), GPSM1 (+26288)
rs780094	C2orf16 (-58152), GCKR (+21528)
rs34652083	ZNF236 (+12915), MBP (+297247)
rs4805681	TSHZ3 (+4937), ZNF536 (+972198)
rs4930044	TH (-3314)
rs9948462	LAMA1 (+40977), ARHGAP28 (+242362)
rs6777684	BCL6 (-278327), LPP (-188879)
rs2982521	CITED2 (-139979)
rs1878332	ATP2A3 (-36861), ZZEF1 (+141868)
rs2237897	CDKN1C (+48565), KCNQ1 (+392325)
rs73872717	RASA2 (-71322), ZBTB38 (+27915)
rs75524028	TUBG2 (-1095)
rs61044233	ERN1 (+878)
rs80072979	GNB5 (-85241), MYO5C (+19188)
rs41277236	NEUROG3 (+693)
rs76263492	LRTM1 (+133274), CACNA2D3 (+672134)
rs12003808	CDKN2B (-219198), DMRTA1 (-218280)
rs62618693	DEPDC7 (-80918), PRRG4 (+105003)
rs73221131	PCGF3 (+31958), CPLX1 (+88475)
rs114364467	P2RY1 (-83055), MBNL1 (+483598)
rs73226260	SPPL3 (-38367), HNF1A (-36011)
rs79687284	PROX1 (-10465), RPS6KC1 (+926223)
rs1800961	TTPAL (-62164), HNF4A (+12440)
rs76549217	ANKH (+103121), OTULIN (+103909)
rs1800574	HNF1A (+312)
rs55911137	CCND1 (+145)
rs118115876	PDE3B (+6127), CYP2R1 (+242402)
rs75693095	IGF2BP3 (+70029), MALSU1 (+101238)
rs79696944	TH (-90915), ASCL2 (+8232)
rs1050828	FAM3A (-19760), IKBKG (-6242)
rs147581833	OTULIN (+91062), ANKH (+115968)
rs191304120	HNF4A (-15863), R3HDML (+48435)
rs11466334	TGFB1 (+12079), CCDC97 (+31643)

