rsid,gene_id,pvalue,qtl_group,study_id
rs10849001,ENSG00000227081,0.00444164,Brain_Spinal_cord_cervical_c-1,GTEx_V8
rs10849001,ENSG00000256654,0.00699568,Brain_Spinal_cord_cervical_c-1,GTEx_V8
rs10849001,ENSG00000111262,0.0407534,Brain_Substantia_nigra,GTEx_V8
rs10912578,ENSG00000117593,0.0228811,monocyte,BLUEPRINT
rs10912578,ENSG00000270084,0.0318788,monocyte,BLUEPRINT
rs10912578,ENSG00000285777,0.0425703,brain,BrainSeq
rs10912578,ENSG00000117593,0.0416058,T-cell,GENCORD
rs10912578,ENSG00000152061,0.00756321,T-cell,GENCORD
rs10912578,ENSG00000152061,0.0283883,Brain_Amygdala,GTEx_V8
rs10912578,ENSG00000227373,0.0409665,Brain_Cerebellar_Hemisphere,GTEx_V8
rs10912578,ENSG00000270084,0.02088,Brain_Frontal_Cortex_BA9,GTEx_V8
rs10912578,ENSG00000076321,0.00307184,Brain_Frontal_Cortex_BA9,GTEx_V8
rs10912578,ENSG00000183831,0.0239153,Brain_Frontal_Cortex_BA9,GTEx_V8
rs10912578,ENSG00000117592,0.0265996,Brain_Hypothalamus,GTEx_V8
rs10912578,ENSG00000094975,0.0206983,Brain_Hypothalamus,GTEx_V8
rs11048457,ENSG00000123094,0.00395684,T-cell,BLUEPRINT
rs11048457,ENSG00000211455,0.0128771,brain,BrainSeq
rs11048457,ENSG00000275764,0.0195179,adipose_naive,FUSION
rs11048457,ENSG00000064102,0.00449075,muscle_naive,FUSION
rs11048457,ENSG00000064115,0.00607235,muscle_naive,FUSION
rs11048457,ENSG00000246695,0.022357,muscle_naive,FUSION
rs11048457,ENSG00000111790,0.00527209,T-cell,GENCORD
rs11048457,ENSG00000255968,0.0402531,T-cell,GENCORD
rs11048457,ENSG00000123095,0.00715627,Adipose_Subcutaneous,GTEx_V8
rs11048457,ENSG00000256894,0.00621867,Adipose_Subcutaneous,GTEx_V8
rs11048457,ENSG00000123104,0.0379865,Adipose_Subcutaneous,GTEx_V8
rs11048457,ENSG00000123096,0.00118261,Adipose_Subcutaneous,GTEx_V8
rs11048457,ENSG00000123094,0.0126854,Adipose_Visceral_Omentum,GTEx_V8
rs11048457,ENSG00000123095,0.00226446,Adipose_Visceral_Omentum,GTEx_V8
rs11257655,ENSG00000065665,0.00657421,monocyte,BLUEPRINT
rs11257655,ENSG00000151465,0.0020529,monocyte,BLUEPRINT
rs11257655,ENSG00000165609,0.0169569,monocyte,BLUEPRINT
rs11257655,ENSG00000181192,0.0134756,monocyte,BLUEPRINT
rs11257655,ENSG00000183049,0.00014344,monocyte,BLUEPRINT
rs11257655,ENSG00000285994,3.86461e-05,monocyte,BLUEPRINT
rs11257655,ENSG00000148429,0.00127436,brain,BrainSeq
rs11257655,ENSG00000148426,0.00775202,muscle_naive,FUSION
rs11257655,ENSG00000151465,0.033895,muscle_naive,FUSION
rs11257655,ENSG00000183049,0.00346123,muscle_naive,FUSION
rs11257655,ENSG00000134463,0.049423,T-cell,GENCORD
rs112725069,ENSG00000174132,0.0255698,muscle_naive,FUSION
rs112725069,ENSG00000247877,0.0234356,T-cell,GENCORD
rs112725069,ENSG00000270906,0.0147845,Adipose_Subcutaneous,GTEx_V8
rs112725069,ENSG00000270230,0.00586399,Brain_Amygdala,GTEx_V8
rs112725069,ENSG00000270307,0.0450833,Brain_Frontal_Cortex_BA9,GTEx_V8
rs112725069,ENSG00000174132,0.0399634,Brain_Frontal_Cortex_BA9,GTEx_V8
rs112725069,ENSG00000270230,0.0281245,Brain_Nucleus_accumbens_basal_ganglia,GTEx_V8
rs112725069,ENSG00000113532,0.0155265,Brain_Spinal_cord_cervical_c-1,GTEx_V8
rs112725069,ENSG00000271207,0.0132445,Brain_Substantia_nigra,GTEx_V8
rs112725069,ENSG00000271207,0.0203591,Cells_EBV-transformed_lymphocytes,GTEx_V8
rs112725069,ENSG00000270225,0.0200887,Muscle_Skeletal,GTEx_V8
rs112725069,ENSG00000113532,0.0339276,Muscle_Skeletal,GTEx_V8
rs112725069,ENSG00000174132,0.0174377,Muscle_Skeletal,GTEx_V8
rs114364467,ENSG00000198829,0.0346205,T-cell,GENCORD
rs114364467,ENSG00000229619,0.00269155,Adipose_Subcutaneous,GTEx_V8
rs114364467,ENSG00000169860,0.00165779,Brain_Frontal_Cortex_BA9,GTEx_V8
rs114364467,ENSG00000198829,0.0206781,Brain_Hypothalamus,GTEx_V8
rs11708067,ENSG00000169087,0.0262255,monocyte,BLUEPRINT
rs11708067,ENSG00000273454,0.0383379,monocyte,BLUEPRINT
rs11708067,ENSG00000082684,0.0252843,adipose_naive,FUSION
rs11708067,ENSG00000121542,0.021905,adipose_naive,FUSION
rs11708067,ENSG00000273123,0.00781646,adipose_naive,FUSION
rs11708067,ENSG00000138496,0.0213216,T-cell,GENCORD
rs11708067,ENSG00000163840,0.0356909,T-cell,GENCORD
rs11708067,ENSG00000173193,0.0206342,T-cell,GENCORD
rs11708067,ENSG00000160145,0.0325309,Adipose_Subcutaneous,GTEx_V8
rs11708067,ENSG00000082684,0.0417068,Adipose_Subcutaneous,GTEx_V8
rs11708067,ENSG00000114023,0.0103257,Adipose_Subcutaneous,GTEx_V8
rs11708067,ENSG00000196981,0.0460683,Adipose_Subcutaneous,GTEx_V8
rs11708067,ENSG00000206527,0.0321693,Adipose_Subcutaneous,GTEx_V8
rs11708067,ENSG00000082684,0.0110142,Adipose_Visceral_Omentum,GTEx_V8
rs11759026,ENSG00000118518,0.0025671,monocyte,BLUEPRINT
rs11759026,ENSG00000066651,0.037741,T-cell,BLUEPRINT
rs11759026,ENSG00000203760,2.25717e-06,T-cell,BLUEPRINT
rs11759026,ENSG00000203760,8.65044e-05,brain,BrainSeq
rs11759026,ENSG00000093144,0.0385508,adipose_naive,FUSION
rs11759026,ENSG00000203760,2.01105e-05,adipose_naive,FUSION
rs11759026,ENSG00000093144,0.0476088,muscle_naive,FUSION
rs11759026,ENSG00000066651,0.0352126,Adipose_Subcutaneous,GTEx_V8
rs11759026,ENSG00000203760,1.15077e-05,Adipose_Subcutaneous,GTEx_V8
rs11759026,ENSG00000213131,0.04319,Adipose_Visceral_Omentum,GTEx_V8
rs11759026,ENSG00000237742,0.000134026,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs11759026,ENSG00000111912,0.0299985,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs11759026,ENSG00000203760,0.0486974,Brain_Caudate_basal_ganglia,GTEx_V8
rs1182447,ENSG00000105983,0.0385136,monocyte,BLUEPRINT
rs1182447,ENSG00000233038,0.0240675,monocyte,BLUEPRINT
rs1182447,ENSG00000009335,9.78793e-12,T-cell,BLUEPRINT
rs1182447,ENSG00000224903,0.0227564,T-cell,BLUEPRINT
rs1182447,ENSG00000105982,0.00310291,adipose_naive,FUSION
rs1182447,ENSG00000105993,0.0456468,muscle_naive,FUSION
rs1182447,ENSG00000009335,3.11565e-08,monocyte_IAV,Quach_2016
rs1182447,ENSG00000105993,0.0238822,monocyte_IAV,Quach_2016
rs11958808,ENSG00000112996,0.0124977,monocyte,BLUEPRINT
rs11958808,ENSG00000272335,8.36816e-05,monocyte,BLUEPRINT
rs11958808,ENSG00000272335,5.44325e-07,T-cell,BLUEPRINT
rs11958808,ENSG00000248779,0.0487317,brain,BrainSeq
rs11958808,ENSG00000251141,6.15244e-06,brain,BrainSeq
rs11958808,ENSG00000070193,0.0208356,adipose_naive,FUSION
rs11958808,ENSG00000272335,1.1957e-10,adipose_naive,FUSION
rs11958808,ENSG00000272335,0.0320608,muscle_naive,FUSION
rs11958808,ENSG00000248779,0.00638883,T-cell,GENCORD
rs11958808,ENSG00000272335,1.9869e-22,Adipose_Subcutaneous,GTEx_V8
rs11958808,ENSG00000070193,0.00902712,Adipose_Subcutaneous,GTEx_V8
rs11958808,ENSG00000272335,2.64696e-08,Adipose_Visceral_Omentum,GTEx_V8
rs11958808,ENSG00000070193,0.0494594,Adipose_Visceral_Omentum,GTEx_V8
rs12003808,ENSG00000099810,0.013191,monocyte,BLUEPRINT
rs12003808,ENSG00000099810,0.0140293,T-cell,GENCORD
rs12003808,ENSG00000229298,0.045132,Adipose_Subcutaneous,GTEx_V8
rs12003808,ENSG00000234840,0.00186564,Adipose_Visceral_Omentum,GTEx_V8
rs12003808,ENSG00000184995,0.0458387,Brain_Cortex,GTEx_V8
rs12003808,ENSG00000099810,0.00158461,Brain_Frontal_Cortex_BA9,GTEx_V8
rs12003808,ENSG00000261696,0.0338622,Brain_Hippocampus,GTEx_V8
rs12003808,ENSG00000120235,0.0369028,Brain_Hypothalamus,GTEx_V8
rs12003808,ENSG00000188379,0.0147036,Brain_Hypothalamus,GTEx_V8
rs12003808,ENSG00000198642,0.0281405,Brain_Nucleus_accumbens_basal_ganglia,GTEx_V8
rs12003808,ENSG00000099810,0.046422,Brain_Putamen_basal_ganglia,GTEx_V8
rs12003808,ENSG00000198642,0.0141696,Brain_Spinal_cord_cervical_c-1,GTEx_V8
rs1215466,ENSG00000229246,0.0265329,brain,BrainSeq
rs1215466,ENSG00000227354,0.00588449,adipose_naive,FUSION
rs1215466,ENSG00000227354,0.0106476,muscle_naive,FUSION
rs1215466,ENSG00000229246,0.00533066,muscle_naive,FUSION
rs1215466,ENSG00000136158,0.00953453,T-cell,GENCORD
rs1215466,ENSG00000229246,0.0163455,T-cell,GENCORD
rs1215466,ENSG00000136158,0.00240837,Adipose_Visceral_Omentum,GTEx_V8
rs1215466,ENSG00000284196,0.013599,Brain_Amygdala,GTEx_V8
rs1215466,ENSG00000229246,0.0340182,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs1215466,ENSG00000284196,0.00100499,Brain_Caudate_basal_ganglia,GTEx_V8
rs1215466,ENSG00000284196,0.0376578,Brain_Cerebellar_Hemisphere,GTEx_V8
rs1215466,ENSG00000284196,8.30828e-05,Brain_Cerebellum,GTEx_V8
rs1215466,ENSG00000284196,0.0158222,Brain_Cortex,GTEx_V8
rs1215466,ENSG00000281721,0.00491325,Brain_Cortex,GTEx_V8
rs1215466,ENSG00000284196,0.0376853,Brain_Frontal_Cortex_BA9,GTEx_V8
rs1215466,ENSG00000281721,0.00703835,Brain_Hippocampus,GTEx_V8
rs1215466,ENSG00000281721,0.0140644,Brain_Hypothalamus,GTEx_V8
rs1215466,ENSG00000284196,0.0114758,Brain_Hypothalamus,GTEx_V8
rs1215466,ENSG00000284196,0.00253184,Brain_Nucleus_accumbens_basal_ganglia,GTEx_V8
rs12334481,ENSG00000147592,0.00623388,T-cell,BLUEPRINT
rs12334481,ENSG00000104313,0.0397523,brain,BrainSeq
rs12334481,ENSG00000253317,0.0226306,brain,BrainSeq
rs12334481,ENSG00000104313,0.000286006,adipose_naive,FUSION
rs12334481,ENSG00000104313,4.1773400000000006e-18,Adipose_Subcutaneous,GTEx_V8
rs12334481,ENSG00000104313,0.000982545,Adipose_Visceral_Omentum,GTEx_V8
rs12334481,ENSG00000235531,0.0278494,Adipose_Visceral_Omentum,GTEx_V8
rs12334481,ENSG00000253379,0.0275612,Brain_Caudate_basal_ganglia,GTEx_V8
rs12334481,ENSG00000104313,2.32029e-05,Brain_Cerebellar_Hemisphere,GTEx_V8
rs12334481,ENSG00000104313,0.0452935,Brain_Cerebellum,GTEx_V8
rs12334481,ENSG00000147592,0.00262546,Brain_Cerebellum,GTEx_V8
rs12334481,ENSG00000147592,0.0273824,Brain_Frontal_Cortex_BA9,GTEx_V8
rs12334481,ENSG00000253379,0.0176662,Brain_Nucleus_accumbens_basal_ganglia,GTEx_V8
rs12334481,ENSG00000246366,0.0102376,Brain_Spinal_cord_cervical_c-1,GTEx_V8
rs12334481,ENSG00000221947,0.0337699,Brain_Substantia_nigra,GTEx_V8
rs12334481,ENSG00000221947,0.039926,Cells_EBV-transformed_lymphocytes,GTEx_V8
rs12454712,ENSG00000119537,0.012227,T-cell,BLUEPRINT
rs12454712,ENSG00000171791,0.000179637,muscle_naive,FUSION
rs12454712,ENSG00000197563,0.0260733,T-cell,GENCORD
rs12454712,ENSG00000166401,0.0166357,Brain_Amygdala,GTEx_V8
rs12454712,ENSG00000267390,0.0401261,Brain_Amygdala,GTEx_V8
rs12454712,ENSG00000081913,0.0497534,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs12454712,ENSG00000141664,0.00230021,Brain_Caudate_basal_ganglia,GTEx_V8
rs12555274,ENSG00000120235,0.00529633,brain,BrainSeq
rs12555274,ENSG00000176399,0.0211242,brain,BrainSeq
rs12555274,ENSG00000233816,0.0237845,brain,BrainSeq
rs12555274,ENSG00000147889,0.0269441,adipose_naive,FUSION
rs12555274,ENSG00000176399,0.0127083,muscle_naive,FUSION
rs12555274,ENSG00000224549,0.00295465,muscle_naive,FUSION
rs12555274,ENSG00000224549,0.0337879,Adipose_Subcutaneous,GTEx_V8
rs12555274,ENSG00000234840,0.00705143,Adipose_Subcutaneous,GTEx_V8
rs12555274,ENSG00000240498,0.0359047,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs12555274,ENSG00000237691,0.0273705,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs12555274,ENSG00000147889,0.0236305,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs12555274,ENSG00000234840,0.0489576,Brain_Caudate_basal_ganglia,GTEx_V8
rs12555274,ENSG00000198642,0.0202941,Brain_Cerebellar_Hemisphere,GTEx_V8
rs12555274,ENSG00000177047,0.0171596,Brain_Cerebellar_Hemisphere,GTEx_V8
rs12555274,ENSG00000198642,0.0301972,Brain_Frontal_Cortex_BA9,GTEx_V8
rs12571751,ENSG00000133661,0.0177913,monocyte,BLUEPRINT
rs12571751,ENSG00000225484,0.0191704,monocyte,BLUEPRINT
rs12571751,ENSG00000230091,0.0184854,T-cell,BLUEPRINT
rs12571751,ENSG00000230091,0.0189704,adipose_naive,FUSION
rs12571751,ENSG00000165424,0.0130669,muscle_naive,FUSION
rs12571751,ENSG00000230091,0.00996112,muscle_naive,FUSION
rs12571751,ENSG00000133661,0.0167604,T-cell,GENCORD
rs12571751,ENSG00000278616,0.0342756,Adipose_Subcutaneous,GTEx_V8
rs12571751,ENSG00000225484,0.0344187,Adipose_Subcutaneous,GTEx_V8
rs12571751,ENSG00000242600,0.0126522,Adipose_Visceral_Omentum,GTEx_V8
rs12571751,ENSG00000272447,0.0358043,Adipose_Visceral_Omentum,GTEx_V8
rs12571751,ENSG00000283913,0.00806399,Adipose_Visceral_Omentum,GTEx_V8
rs12641088,ENSG00000120251,0.0367249,brain,BrainSeq
rs12641088,ENSG00000151790,0.0157085,brain,BrainSeq
rs12641088,ENSG00000145431,0.010997,adipose_naive,FUSION
rs12641088,ENSG00000145431,9.4352e-07,Adipose_Subcutaneous,GTEx_V8
rs12641088,ENSG00000145431,0.0248939,Adipose_Visceral_Omentum,GTEx_V8
rs12641088,ENSG00000109738,0.0468879,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs12641088,ENSG00000145431,0.0384304,Brain_Cerebellar_Hemisphere,GTEx_V8
rs12641088,ENSG00000109738,0.0364746,Brain_Cerebellar_Hemisphere,GTEx_V8
rs12641088,ENSG00000120251,0.0253316,Brain_Cerebellum,GTEx_V8
rs12641088,ENSG00000145431,0.012932,Brain_Cortex,GTEx_V8
rs12641088,ENSG00000109738,0.0262129,Brain_Cortex,GTEx_V8
rs12641088,ENSG00000145431,0.0332657,Brain_Hypothalamus,GTEx_V8
rs12910361,ENSG00000136381,0.0182099,monocyte,BLUEPRINT
rs12910361,ENSG00000140368,0.0409797,monocyte,BLUEPRINT
rs12910361,ENSG00000140382,6.42231e-05,monocyte,BLUEPRINT
rs12910361,ENSG00000136381,0.0339782,T-cell,BLUEPRINT
rs12910361,ENSG00000140368,0.0162795,T-cell,BLUEPRINT
rs12910361,ENSG00000140382,0.000422108,T-cell,BLUEPRINT
rs12910361,ENSG00000140395,0.0487557,T-cell,BLUEPRINT
rs12910361,ENSG00000173517,7.37068e-09,T-cell,BLUEPRINT
rs12910361,ENSG00000173517,1.76522e-05,brain,BrainSeq
rs12910361,ENSG00000259322,0.0336246,brain,BrainSeq
rs12910361,ENSG00000269951,0.0283928,brain,BrainSeq
rs13303359,ENSG00000143847,0.00605189,monocyte,BLUEPRINT
rs13303359,ENSG00000159348,0.044709,monocyte,BLUEPRINT
rs13303359,ENSG00000226862,0.0279058,monocyte,BLUEPRINT
rs13303359,ENSG00000117153,0.0244033,T-cell,BLUEPRINT
rs13303359,ENSG00000058668,2.55401e-13,adipose_naive,FUSION
rs13303359,ENSG00000133048,0.00657567,adipose_naive,FUSION
rs13303359,ENSG00000143850,9.00425e-05,muscle_naive,FUSION
rs13303359,ENSG00000133063,0.00926223,T-cell,GENCORD
rs13303359,ENSG00000143858,0.0262213,T-cell,GENCORD
rs13303359,ENSG00000223505,0.0419446,Adipose_Subcutaneous,GTEx_V8
rs13303359,ENSG00000188783,0.0361033,Adipose_Visceral_Omentum,GTEx_V8
rs13322435,ENSG00000197980,0.0348221,monocyte,BLUEPRINT
rs13322435,ENSG00000241544,0.0333504,T-cell,BLUEPRINT
rs13322435,ENSG00000114850,0.0192775,adipose_naive,FUSION
rs13322435,ENSG00000163659,1.37028e-29,adipose_naive,FUSION
rs13322435,ENSG00000240875,5.08171e-08,adipose_naive,FUSION
rs13322435,ENSG00000243176,0.00528585,adipose_naive,FUSION
rs13322435,ENSG00000163659,2.05817e-06,Adipose_Subcutaneous,GTEx_V8
rs13322435,ENSG00000243926,0.000927513,Adipose_Subcutaneous,GTEx_V8
rs13322435,ENSG00000244515,0.0222074,Adipose_Subcutaneous,GTEx_V8
rs13322435,ENSG00000240875,5.89207e-05,Adipose_Subcutaneous,GTEx_V8
rs13322435,ENSG00000174912,0.033461,Adipose_Subcutaneous,GTEx_V8
rs13322435,ENSG00000114850,0.0017056,Adipose_Visceral_Omentum,GTEx_V8
rs13322435,ENSG00000163659,0.000118998,Adipose_Visceral_Omentum,GTEx_V8
rs13322435,ENSG00000174899,0.00761163,Adipose_Visceral_Omentum,GTEx_V8
rs13322435,ENSG00000240875,0.000231884,Adipose_Visceral_Omentum,GTEx_V8
rs1333045,ENSG00000198642,0.01843,monocyte,BLUEPRINT
rs1333045,ENSG00000147883,0.0250096,brain,BrainSeq
rs1333045,ENSG00000147883,0.000584437,adipose_naive,FUSION
rs1333045,ENSG00000176399,0.00342147,adipose_naive,FUSION
rs1333045,ENSG00000099810,0.0259074,muscle_naive,FUSION
rs1333045,ENSG00000265194,0.00537728,Adipose_Subcutaneous,GTEx_V8
rs1333045,ENSG00000184995,0.00869623,Adipose_Visceral_Omentum,GTEx_V8
rs1333045,ENSG00000147883,0.0345616,Brain_Amygdala,GTEx_V8
rs1333045,ENSG00000188379,0.00718718,Brain_Amygdala,GTEx_V8
rs1333045,ENSG00000233816,0.000958091,Brain_Amygdala,GTEx_V8
rs1333045,ENSG00000099810,0.034811,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs1333045,ENSG00000147883,0.0338809,Brain_Anterior_cingulate_cortex_BA24,GTEx_V8
rs1333045,ENSG00000261696,0.0439745,Brain_Cerebellar_Hemisphere,GTEx_V8
rs1333045,ENSG00000147889,0.0127896,Brain_Cortex,GTEx_V8
rs13389219,ENSG00000169507,0.0192704,brain,BrainSeq
rs13389219,ENSG00000153253,0.00611658,adipose_naive,FUSION
rs13389219,ENSG00000169507,9.87596e-10,adipose_naive,FUSION
rs13389219,ENSG00000236283,0.0295021,adipose_naive,FUSION
rs13389219,ENSG00000082438,0.00953954,muscle_naive,FUSION
rs13389219,ENSG00000115290,0.0360002,muscle_naive,FUSION
rs13389219,ENSG00000153253,0.00965395,muscle_naive,FUSION
rs13389219,ENSG00000169507,6.69282e-11,muscle_naive,FUSION
rs13389219,ENSG00000115290,0.0376018,Adipose_Subcutaneous,GTEx_V8
rs13389219,ENSG00000169507,1.60053e-07,Adipose_Subcutaneous,GTEx_V8
rs13389219,ENSG00000236283,0.00146307,Adipose_Subcutaneous,GTEx_V8
rs13389219,ENSG00000169507,0.00206647,Adipose_Visceral_Omentum,GTEx_V8
rs138066904,ENSG00000139233,0.00958915,monocyte_IAV,Quach_2016
rs138066904,ENSG00000256083,0.0331377,monocyte_LPS,Quach_2016
rs138066904,ENSG00000256915,0.00335291,monocyte_LPS,Quach_2016
rs138066904,ENSG00000239335,0.0418158,CD8_T-cell_anti-CD3-CD28,Schmiedel_2018
rs138066904,ENSG00000276853,0.0232423,CD8_T-cell_anti-CD3-CD28,Schmiedel_2018
rs138066904,ENSG00000174106,0.0345001,CD8_T-cell_naive,Schmiedel_2018
rs1418334,ENSG00000101938,5.7919e-12,Adipose_Subcutaneous,GTEx_V8
rs1418334,ENSG00000101938,7.27384e-07,Adipose_Visceral_Omentum,GTEx_V8
rs1418334,ENSG00000243978,0.0420186,Brain_Amygdala,GTEx_V8
rs1418334,ENSG00000101935,0.0148606,Brain_Caudate_basal_ganglia,GTEx_V8
rs1418334,ENSG00000243978,0.00242967,Brain_Caudate_basal_ganglia,GTEx_V8
rs1418334,ENSG00000243978,2.14542e-21,Brain_Cerebellar_Hemisphere,GTEx_V8
rs1418334,ENSG00000077264,0.0159636,Brain_Cerebellar_Hemisphere,GTEx_V8
rs1418334,ENSG00000077279,0.0392373,Brain_Cerebellar_Hemisphere,GTEx_V8
rs1418334,ENSG00000157600,0.00701416,Brain_Cerebellar_Hemisphere,GTEx_V8
rs1418334,ENSG00000077264,0.0016393,Brain_Cerebellum,GTEx_V8
rs1418334,ENSG00000101938,0.0085449,Brain_Cerebellum,GTEx_V8
rs1418334,ENSG00000243978,5.000449999999999e-31,Brain_Cerebellum,GTEx_V8
rs1418334,ENSG00000157600,0.0188124,Brain_Cortex,GTEx_V8
rs1418334,ENSG00000243978,2.196e-06,Brain_Cortex,GTEx_V8
rs1496653,ENSG00000182247,9.97252e-08,T-cell,BLUEPRINT
rs1496653,ENSG00000182247,0.0373178,Adipose_Subcutaneous,GTEx_V8
rs1496653,ENSG00000231395,0.00853044,Adipose_Visceral_Omentum,GTEx_V8
rs1496653,ENSG00000182247,0.0157131,Adipose_Visceral_Omentum,GTEx_V8
rs1496653,ENSG00000182247,0.0111705,Brain_Cerebellar_Hemisphere,GTEx_V8
rs1496653,ENSG00000182247,0.00598244,Brain_Cerebellum,GTEx_V8
rs1496653,ENSG00000223791,0.00870937,Brain_Hippocampus,GTEx_V8
